Part,Price,Quantity,Purpose,Link,
Seeed Studio XIAO nRF52840,18.99,2,Main microcontrollers with BLE for wireless split connectivity.,https://www.amazon.com/gp/product/B09T9VVQG7/ref=ox_sc_act_title_1?smid=A2OY3Y9CEYQQ5W,
PCB Manufacturing (265x99mm),14.6,1,Custom designed PCBs for the split layout ,,
Keycaps XDA PBT (50pcs),9.24,1,Low-profile ergonomic keycaps for the switch matrix.,https://www.aliexpress.us/item/3256810402164930.html?spm=a2g0o.cart.0.0.1b507a9d9v0Y14&mp=1&pdp_npi=6%40dis%21USD%21USD+9.24%21USD+9.24%21%21USD+9.24%21%21%21%400b1bf20a17773333509036109e6861%2112000052908859253%21ct%21US%216552079137%21%211%210%21&gatewayAdapt=glo2usa,
Mechanical Switches (50pcs),5.13,1,Tactile input switches for the keyboard matrix.,https://www.aliexpress.us/item/3256811652574937.html?spm=a2g0o.cart.0.0.1b507a9d9v0Y14&mp=1&pdp_npi=6%40dis%21USD%21USD+5.13%21USD+5.13%21%21USD+5.13%21%21%21%400b1bf20a17773333509036109e6861%2112000056744509270%21ct%21US%216552079137%21%211%210%21&gatewayAdapt=glo2usa,
LEDs SK6812 MINI-E (100pcs),4.83,1,Per-key RGB lighting (WS2812B compatible protocol).,https://www.aliexpress.us/item/3256810305129996.html?spm=a2g0o.cart.0.0.1b507a9d9v0Y14&mp=1&pdp_npi=6%40dis%21USD%21USD+4.83%21USD+0.99%21%21USD+0.99%21%21%21%400b1bf20a17773333509036109e6861%2112000052582134404%21ct%21US%216552079137%21%211%210%21&gatewayAdapt=glo2usa,
Resistor 806k Ohm 0805 (100pcs),3.05,1,Precision resistor for the battery voltage divider circuit.,https://www.aliexpress.us/item/3256807764544932.html?spm=a2g0o.cart.0.0.1b507a9d9v0Y14&mp=1&pdp_npi=6%40dis%21USD%21USD+3.05%21USD+3.05%21%21USD+3.05%21%21%21%400b1bf20a17773333509036109e6861%2112000042999129349%21ct%21US%216552079137%21%211%210%21&gatewayAdapt=glo2usa,
Resistor 2M Ohm 0805 (100pcs),3.05,1,High-value resistor for the battery voltage divider circuit.,https://www.aliexpress.us/item/3256807764544932.html?spm=a2g0o.cart.0.0.1b507a9d9v0Y14&mp=1&pdp_npi=6%40dis%21USD%21USD+3.05%21USD+3.05%21%21USD+3.05%21%21%21%400b1bf20a17773333509036109e6861%2112000042999129339%21ct%21US%216552079137%21%211%210%21&gatewayAdapt=glo2usa,
,,,,,
,,,,,
,,,,,
,,,,,Link
