Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,D,D_SOD-123,56.59375,-38.3625,90,bottom
D2,D,D_SOD-123,256.84375,-38.125,90,bottom
D3,D,D_SOD-123,57.15,-57.15,90,bottom
D4,D,D_SOD-123,256.84375,-57.175,90,bottom
D5,D,D_SOD-123,57.15,-76.2,90,bottom
D6,D,D_SOD-123,256.84375,-76.225,90,bottom
D7,D,D_SOD-123,57.15,-95.25,90,bottom
D8,D,D_SOD-123,256.84375,-95.275,90,bottom
D9,D,D_SOD-123,76.2,-92.86875,90,bottom
D10,D,D_SOD-123,237.79375,-92.89375,90,bottom
D11,D,D_SOD-123,95.25,-90.4875,90,bottom
D12,D,D_SOD-123,218.74375,-90.5125,90,bottom
D13,D,D_SOD-123,114.3,-95.25,90,bottom
D14,D,D_SOD-123,199.69375,-95.275,90,bottom
D15,D,D_SOD-123,133.35,-100.0125,90,bottom
D16,D,D_SOD-123,180.64375,-100.0375,90,bottom
D17,D,D_SOD-123,76.2,-73.81875,90,bottom
D18,D,D_SOD-123,237.79375,-73.84375,90,bottom
D19,D,D_SOD-123,94.60625,-72.025,90,bottom
D20,D,D_SOD-123,218.74375,-71.4625,90,bottom
D21,D,D_SOD-123,114.3,-76.2,90,bottom
D22,D,D_SOD-123,199.69375,-76.225,90,bottom
D23,D,D_SOD-123,133.35,-80.9625,90,bottom
D24,D,D_SOD-123,180.64375,-80.9875,90,bottom
D25,D,D_SOD-123,76.2,-54.76875,90,bottom
D26,D,D_SOD-123,237.65,-54.88125,90,bottom
D27,D,D_SOD-123,95.25,-52.3875,90,bottom
D28,D,D_SOD-123,218.74375,-52.4125,90,bottom
D29,D,D_SOD-123,114.3,-57.15,90,bottom
D30,D,D_SOD-123,199.69375,-57.175,90,bottom
D31,D,D_SOD-123,133.35,-61.9125,90,bottom
D32,D,D_SOD-123,180.64375,-61.9375,90,bottom
D33,D,D_SOD-123,76.2,-35.71875,90,bottom
D34,D,D_SOD-123,237.79375,-35.74375,90,bottom
D35,D,D_SOD-123,95.25,-33.3375,90,bottom
D36,D,D_SOD-123,218.74375,-33.3625,90,bottom
D37,D,D_SOD-123,114.15625,-38.1875,90,bottom
D38,D,D_SOD-123,199.0472,-38.2114,90,bottom
D39,D,D_SOD-123,132.70345,-42.9489,90,bottom
D40,D,D_SOD-123,179.9972,-42.9739,90,bottom
D41,D,D_SOD-123,40.48125,-107.15625,110,bottom
D42,D,D_SOD-123,273.5125,-111.94375,70,bottom
D43,SK6812,LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,33.350391,-111.352848,20,bottom
D44,SK6812,LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,266.355859,-111.377848,160,bottom
D45,SK6812,LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,126.20625,-102.25,0,bottom
D46,SK6812,LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,173.5,-102.275,180,bottom
D47,SK6812,LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,50.00625,-97.4875,0,bottom
D48,SK6812,LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,249.7,-97.5125,180,bottom
D49,SK6812,LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,69.05625,-95.10625,0,bottom
D50,SK6812,LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,230.65,-95.13125,180,bottom
D51,SK6812,LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,88.10625,-92.725,0,bottom
D52,SK6812,LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,211.6,-92.75,180,bottom
D53,SK6812,LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,107.15625,-97.4875,0,bottom
D54,SK6812,LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,192.55,-97.5125,180,bottom
D55,SK6812,LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,126.20625,-83.2,180,bottom
D56,SK6812,LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,173.5,-83.225,0,bottom
D57,SK6812,LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,107.15625,-78.4375,180,bottom
D58,SK6812,LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,192.55,-78.4625,0,bottom
D59,SK6812,LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,88.10625,-73.675,180,bottom
D60,SK6812,LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,211.6,-73.7,0,bottom
D61,SK6812,LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,69.05625,-76.05625,180,bottom
D62,SK6812,LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,230.65,-76.08125,0,bottom
D63,SK6812,LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,50.00625,-78.4375,180,bottom
D64,SK6812,LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,249.7,-78.4625,0,bottom
D65,SK6812,LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,126.20625,-64.15,0,bottom
D66,SK6812,LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,107.15625,-59.3875,0,bottom
D67,SK6812,LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,88.10625,-54.625,0,bottom
D68,SK6812,LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,69.05625,-57.00625,0,bottom
D69,SK6812,LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,50.00625,-59.3875,0,bottom
D70,SK6812,LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,173.5,-64.175,180,bottom
D71,SK6812,LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,192.55,-59.4125,180,bottom
D72,SK6812,LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,211.6,-54.65,180,bottom
D73,SK6812,LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,230.65,-57.03125,180,bottom
